"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 06 15:27:33 GMT 2021","Mon Dec 06 15:27:33 GMT 2021","18","","org.example.TestClass","","org.example.TestClass","testTwo","testTwo()",""
"passed","Mon Dec 06 15:27:33 GMT 2021","Mon Dec 06 15:27:33 GMT 2021","275","","org.example.TestClass","","org.example.TestClass","testOne","testOne()",""
